GO:0005634	Cytosine-specific methyltransferase OS=Cucumis melo OX=3656 GN=LOC103492483 PE=3 SV=1
GO:0000148	1,3-beta-glucan synthase OS=Cucumis sativus OX=3659 GN=Csa_1G605110 PE=3 SV=1
GO:0005730	Ribosome biogenesis regulatory protein OS=Cucumis sativus OX=3659 GN=Csa_1G605610 PE=3 SV=1
GO:0004842	RING-type E3 ubiquitin transferase OS=Cucumis melo OX=3656 GN=LOC103492492 PE=4 SV=1
GO:0005730	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G605650 PE=4 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G605660 PE=3 SV=1
GO:0005634	AP2/ERF and B3 domain-containing transcription factor OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold824G00470 PE=3 SV=1
GO:0005634	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G605670 PE=3 SV=1
GO:0005634	Non-structural maintenance of chromosomes element 4 OS=Cucumis sativus OX=3659 GN=Csa_1G605680 PE=3 SV=1
GO:0000506	GlcNAc-PI synthesis protein OS=Cucumis sativus OX=3659 GN=Csa_1G605690 PE=4 SV=1
GO:0016020	Receptor-like serine/threonine-protein kinase OS=Cucumis sativus OX=3659 GN=Csa_1G605730 PE=3 SV=1
GO:0016020	Receptor-like serine/threonine-protein kinase OS=Cucumis sativus OX=3659 GN=Csa_1G605740 PE=3 SV=1
GO:0016020	Receptor-like serine/threonine-protein kinase OS=Cucumis sativus OX=3659 GN=Csa_1G605750 PE=3 SV=1
GO:0005739	Lipoyl(octanoyl) transferase OS=Cucumis sativus OX=3659 GN=Csa_1G605760 PE=3 SV=1
GO:0008422	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G611280 PE=3 SV=1
GO:0008422	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G611290 PE=3 SV=1
GO:0008422	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G611300 PE=3 SV=1
GO:0000329	V-type proton ATPase subunit F OS=Cucumis melo OX=3656 GN=LOC103492049 PE=3 SV=1
GO:0008422	beta-glucosidase 24 OS=Cucumis melo OX=3656 GN=LOC103492048 PE=3 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G612930 PE=4 SV=1
GO:0016020	RING-type domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G613470 PE=4 SV=1
GO:0005743	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G613490 PE=3 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G613510 PE=4 SV=1
GO:0005758	PRELI/MSF1 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G613520 PE=4 SV=1
GO:0009507	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G613540 PE=3 SV=1
GO:0043231	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G613550 PE=4 SV=1
GO:0005789	Translocation protein SEC62 OS=Cucumis sativus OX=3659 GN=Csa_1G613570 PE=3 SV=1
GO:0016602	Nuclear transcription factor Y subunit OS=Cucumis sativus OX=3659 GN=Csa_1G613580 PE=3 SV=1
GO:0044183	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G613600 PE=4 SV=1
GO:0005737	Armadillo repeat-containing protein 8 OS=Cucumis sativus OX=3659 GN=Csa_1G613610 PE=4 SV=1
GO:0012505	1-acylglycerol-3-phosphate O-acyltransferase OS=Cucumis sativus OX=3659 GN=Csa_1G613620 PE=3 SV=1
GO:0009337	Assimilatory sulfite reductase (ferredoxin) OS=Cucumis sativus OX=3659 GN=Csa_1G614130 PE=3 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G615150 PE=4 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G615160 PE=3 SV=1
GO:0005739	Protein arginine methyltransferase NDUFAF7 OS=Cucumis sativus OX=3659 GN=Csa_1G615180 PE=3 SV=1
GO:0003723	LOW QUALITY PROTEIN: THUMP domain-containing protein 1 homolog OS=Cucumis melo OX=3656 GN=LOC103492015 PE=4 SV=1
GO:0005739	Phosphotransferase OS=Cucumis sativus OX=3659 GN=Csa_1G615730 PE=3 SV=1
GO:0000922	Gamma-tubulin complex component OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold228G00060 PE=3 SV=1
GO:0005737	RRM domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G616290 PE=4 SV=1
GO:0005634	Scarecrow-like protein 3 isoform X1 OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold225G001090 PE=3 SV=1
GO:0005777	Alanine--glyoxylate transaminase OS=Cucumis sativus OX=3659 GN=Csa_1G617370 PE=3 SV=1
GO:0016020	F-box domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G617380 PE=4 SV=1
GO:0016020	Tyrosine N-monooxygenase OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold319G002190 PE=3 SV=1
GO:0016020	Isoleucine N-monooxygenase 1-like OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold225G00730 PE=3 SV=1
GO:0016020	Isoleucine N-monooxygenase 1-like OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold225G00730 PE=3 SV=1
GO:0016020	isoleucine N-monooxygenase 1-like OS=Cucumis melo OX=3656 GN=LOC103491994 PE=3 SV=1
GO:0005769	Probable magnesium transporter OS=Cucumis sativus OX=3659 GN=Csa_1G627400 PE=3 SV=1
GO:0005741	Mitochondrial fission 1 protein OS=Cucumis sativus OX=3659 GN=Csa_1G627410 PE=3 SV=1
GO:0005737	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G627420 PE=4 SV=1
GO:0009507	pentatricopeptide repeat-containing protein At5g01110 OS=Cucumis melo OX=3656 GN=LOC103491986 PE=4 SV=1
GO:0004650	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G627460 PE=3 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G627470 PE=3 SV=1
GO:0016788	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G629050 PE=4 SV=1
GO:0005697	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G629070 PE=4 SV=1
GO:0016020	pentatricopeptide repeat-containing protein At4g28010 OS=Cucumis melo OX=3656 GN=LOC103491973 PE=4 SV=1
GO:0000139	Protein CASP OS=Cucumis sativus OX=3659 GN=Csa_1G629150 PE=3 SV=1
GO:0000118	Histone deacetylase OS=Cucumis melo OX=3656 GN=LOC103491969 PE=4 SV=1
GO:0005634	HSF_DOMAIN domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G629180 PE=3 SV=1
GO:0004842	RING-type domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G629730 PE=4 SV=1
GO:0003860	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G629790 PE=3 SV=1
GO:0003723	RRM domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G630290 PE=4 SV=1
GO:0005886	(1-
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G630310 PE=3 SV=1
GO:0009705	aluminum-activated malate transporter 2-like OS=Cucurbita maxima OX=3661 GN=LOC111496849 PE=3 SV=1
GO:0009705	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G630860 PE=3 SV=1
GO:0009705	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G631860 PE=3 SV=1
GO:0005634	BHLH domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G632370 PE=4 SV=1
GO:0000244	protein AAR2 homolog isoform X1 OS=Cucumis melo OX=3656 GN=LOC103496849 PE=3 SV=1
GO:0005730	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G633410 PE=3 SV=1
GO:0061630	RING-type E3 ubiquitin transferase OS=Cucumis sativus OX=3659 GN=Csa_1G633420 PE=4 SV=1
GO:0005576	Expansin A5-like protein OS=Cucumis melo OX=3656 GN=LOC103491932 PE=2 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G637950 PE=4 SV=1
GO:0016020	DUF4220 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G638510 PE=4 SV=1
GO:0005829	DnaJ OS=Cucumis sativus OX=3659 GN=Csa_1G642540 PE=3 SV=1
GO:0005874	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G648050 PE=4 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G649550 PE=3 SV=1
GO:0043231	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G650050 PE=4 SV=1
GO:0005634	Tubulin-folding cofactor E OS=Cucumis melo OX=3656 GN=LOC103488852 PE=3 SV=1
GO:0016020	Peptidase A1 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G651140 PE=3 SV=1
GO:0009507	uncharacterized protein LOC103487195 OS=Cucumis melo OX=3656 GN=LOC103487195 PE=4 SV=1
GO:0005829	Thioredoxin domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G651650 PE=4 SV=1
GO:0005886	uncharacterized protein LOC103487197 OS=Cucumis melo OX=3656 GN=LOC103487197 PE=4 SV=1
GO:0005829	Aha1_N domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G651680 PE=3 SV=1
GO:0005634	RRM domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G651690 PE=4 SV=1
GO:0005829	Acetohydroxy-acid synthase small subunit OS=Cucumis melo OX=3656 GN=LOC103487207 PE=3 SV=1
GO:0072546	ER membrane protein complex subunit 10 OS=Cucumis melo OX=3656 GN=LOC103487208 PE=4 SV=1
GO:0009507	RF_PROK_I domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G652260 PE=3 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G652280 PE=3 SV=1
GO:0016020	IPPc domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G652290 PE=3 SV=1
GO:0005635	zinc finger CCCH domain-containing protein 16 isoform X1 OS=Cucumis melo OX=3656 GN=LOC103487214 PE=4 SV=1
GO:0031012	ZnMc domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G654840 PE=3 SV=1
GO:0016020	ZnMc domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G654860 PE=3 SV=1
GO:0005634	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G654870 PE=3 SV=1
GO:0009706	Protein TIC 20 OS=Cucumis sativus OX=3659 GN=Csa_1G654890 PE=3 SV=1
GO:0004035	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G654900 PE=4 SV=1
GO:0005576	Carboxypeptidase OS=Cucumis melo OX=3656 GN=LOC103487220 PE=3 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold84664G00800 PE=4 SV=1
GO:0005634	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G657480 PE=4 SV=1
GO:0005737	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G658010 PE=3 SV=1
GO:0030001	CRIB domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G658520 PE=4 SV=1
GO:0005816	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G660130 PE=4 SV=1
GO:0009570	Tryptophan synthase OS=Cucumis sativus OX=3659 GN=Csa_1G660140 PE=3 SV=1
GO:0005794	glucose-6-phosphate/phosphate translocator 2, chloroplastic-like OS=Cucumis melo OX=3656 GN=LOC103494919 PE=4 SV=1
GO:0044599	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G660170 PE=4 SV=1
GO:0003677	START domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G660180 PE=4 SV=1
GO:0016906	sterol 3-beta-glucosyltransferase UGT80A2-like isoform X1 OS=Cucumis melo OX=3656 GN=LOC103487247 PE=4 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G662770 PE=3 SV=1
GO:0004601	uncharacterized protein LOC103487261 isoform X1 OS=Cucumis melo OX=3656 GN=LOC103487261 PE=4 SV=1
GO:0030246	PAP_fibrillin domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G665380 PE=3 SV=1
GO:0005789	ANK_REP_REGION domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G666960 PE=4 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G666980 PE=4 SV=1
GO:0043231	DYW_deaminase domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G666990 PE=3 SV=1
GO:0005871	Kinesin-like protein OS=Cucumis melo OX=3656 GN=LOC103487286 PE=3 SV=1
GO:0006952	Bet_v_1 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G680110 PE=3 SV=1
GO:0005737	Glycosyltransferase OS=Cucumis sativus OX=3659 GN=Csa_1G687630 PE=3 SV=1
GO:0005886	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G690180 PE=4 SV=1
GO:2000280	WD_REPEATS_REGION domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G690190 PE=4 SV=1
GO:0008270	SWIM-type domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G690200 PE=4 SV=1
GO:0005737	TPX2 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G690210 PE=3 SV=1
GO:0043231	DYW_deaminase domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G690260 PE=3 SV=1
GO:0005829	Peptidyl-prolyl cis-trans isomerase OS=Cucumis sativus OX=3659 GN=Csa_1G690270 PE=3 SV=1
GO:0009507	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G690280 PE=4 SV=1
GO:0005634	Serine/threonine-protein phosphatase OS=Cucumis melo OX=3656 GN=LOC103501016 PE=3 SV=1
GO:0005634	pseudouridylate synthase 7 homolog isoform X1 OS=Cucumis melo OX=3656 GN=LOC103501017 PE=3 SV=1
GO:0009507	Zeta-carotene desaturase OS=Cucumis sativus OX=3659 GN=Csa_1G695370 PE=3 SV=1
GO:0005737	Non-specific serine/threonine protein kinase OS=Cucumis sativus OX=3659 GN=Csa_1G695390 PE=4 SV=1
GO:0005840	40S ribosomal protein S24 OS=Cucumis sativus OX=3659 GN=Csa_1G696420 PE=3 SV=1
GO:0005680	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G696430 PE=4 SV=1
GO:0005634	CRC domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G696440 PE=3 SV=1
GO:0005634	TATA-binding protein-associated factor 2N OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold3607G00140 PE=4 SV=1
GO:0016020	MFS domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G696460 PE=3 SV=1
GO:0005856	rac-like GTP-binding protein ARAC7 OS=Cucumis melo OX=3656 GN=LOC103501028 PE=3 SV=1
GO:0004842	RING-type E3 ubiquitin transferase OS=Cucumis sativus OX=3659 GN=Csa_1G696500 PE=4 SV=1
GO:0003824	PNP_UDP_1 domain-containing protein OS=Ananas comosus var. bracteatus OX=296719 GN=CB5_LOCUS26595 PE=4 SV=1
GO:0016020	PNP_UDP_1 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G696520 PE=4 SV=1
GO:0004090	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G698530 PE=4 SV=1
GO:0005769	EH domain-containing protein 1 OS=Cucumis melo OX=3656 GN=LOC103498230 PE=4 SV=1
GO:0005886	AvrRpt-cleavage domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G699040 PE=4 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G699550 PE=4 SV=1
GO:0005739	Ubiquinol oxidase OS=Cucumis sativus OX=3659 GN=Csa_1G699610 PE=3 SV=1
GO:0005829	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta OS=Cucumis sativus OX=3659 GN=PFP-BETA PE=3 SV=1
GO:0005634	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G701220 PE=4 SV=1
GO:0005576	LOW QUALITY PROTEIN: subtilisin-like protease SBT2.4 OS=Cucumis melo OX=3656 GN=LOC103498334 PE=3 SV=1
GO:0016020	O-fucosyltransferase family protein OS=Cucumis sativus OX=3659 GN=Csa_1G701270 PE=3 SV=1
GO:0005886	Protein kinase domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G701280 PE=4 SV=1
GO:0005759	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G701300 PE=4 SV=1
GO:0005886	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G701320 PE=3 SV=1
GO:0001650	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G701330 PE=4 SV=1
GO:0009507	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G701340 PE=4 SV=1
GO:0000139	Exostosin domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_1G701350 PE=3 SV=1
GO:0005737	14 kDa zinc-binding protein isoform X1 OS=Cucumis melo OX=3656 GN=LOC103498251 PE=4 SV=1
GO:0005737	Sulfiredoxin OS=Cucumis sativus OX=3659 GN=Csa_1G701390 PE=3 SV=1
GO:0005634	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G701890 PE=4 SV=1
GO:0005739	Glycine cleavage system H protein OS=Cucumis sativus OX=3659 GN=Csa_1G701910 PE=3 SV=1
GO:0005634	PROTEASOME_ALPHA_1 domain-containing protein OS=Prunus yedoensis var. nudiflora OX=2094558 GN=Pyn_38942 PE=3 SV=1
GO:0016592	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G701970 PE=4 SV=1
GO:0005739	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G701980 PE=4 SV=1
GO:0005737	glutathionyl-hydroquinone reductase YqjG isoform X1 OS=Cucumis melo OX=3656 GN=LOC103498268 PE=4 SV=1
GO:0005739	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G702000 PE=4 SV=1
GO:0005665	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G702030 PE=3 SV=1
GO:0004620	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G702040 PE=4 SV=1
GO:0030246	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G703060 PE=4 SV=1
GO:0005634	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G705100 PE=3 SV=1
GO:0005794	O-fucosyltransferase family protein OS=Cucumis sativus OX=3659 GN=Csa_1G705610 PE=3 SV=1
GO:0003676	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G706610 PE=3 SV=1
GO:0005886	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G707110 PE=3 SV=1
GO:0005737	vesicle-associated membrane protein 722-like OS=Cucumis melo OX=3656 GN=LOC103498283 PE=3 SV=1
GO:0009543	Peptidylprolyl isomerase OS=Cucumis sativus OX=3659 GN=Csa_1G707640 PE=4 SV=1
GO:0005737	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G707650 PE=3 SV=1
GO:0000145	exocyst complex component EXO84C OS=Cucumis melo OX=3656 GN=LOC103498280 PE=3 SV=1
GO:0032299	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_1G708160 PE=4 SV=1
GO:0004869	Phloem filament protein OS=Cucumis sativus OX=3659 GN=Csa_1G710160 PE=4 SV=1
GO:0005789	Protein ROOT HAIR DEFECTIVE 3 homolog OS=Cucumis melo OX=3656 GN=LOC103498297 PE=3 SV=1
GO:0009535	PSI-F OS=Cucumis sativus OX=3659 GN=Csa_1G714680 PE=3 SV=1
GO:0000329	transforming growth factor-beta receptor-associated protein 1 isoform X1 OS=Cucumis melo OX=3656 GN=LOC103498291 PE=4 SV=1
GO:0016020	pollen receptor-like kinase 3 OS=Cucumis melo OX=3656 GN=LOC103498999 PE=4 SV=1
GO:0005634	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G000020 PE=4 SV=1
GO:0005634	Auxin response factor OS=Cucumis sativus OX=3659 GN=Csa_2G000030 PE=3 SV=1
GO:0005634	DEAD-box ATP-dependent RNA helicase 17 isoform X1 OS=Cucumis melo OX=3656 GN=LOC103498955 PE=3 SV=1
GO:0016020	protein LAZ1 homolog 2 isoform X2 OS=Cucumis melo OX=3656 GN=LOC103498920 PE=4 SV=1
GO:0005794	PMR5N domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G000080 PE=3 SV=1
GO:0005634	ATP-dependent DNA helicase OS=Cucumis melo OX=3656 GN=LOC103498866 PE=3 SV=1
GO:0005773	Str_synth domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G000100 PE=3 SV=1
GO:0007186	G protein gamma domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G000110 PE=4 SV=1
GO:0005886	Protein kinase domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G000130 PE=4 SV=1
GO:0003729	pentatricopeptide repeat-containing protein At2g06000 OS=Cucumis melo OX=3656 GN=LOC103498823 PE=4 SV=1
GO:0005794	O-fucosyltransferase family protein OS=Cucumis sativus OX=3659 GN=Csa_2G000150 PE=3 SV=1
GO:0005524	Growth-regulating factor OS=Cucumis sativus OX=3659 GN=Csa_2G000170 PE=3 SV=1
GO:0005634	Elf4 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G000210 PE=3 SV=1
GO:0015935	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G000220 PE=4 SV=1
GO:0005634	KH type-2 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G000230 PE=3 SV=1
GO:0008168	PABS domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G000240 PE=3 SV=1
GO:0005662	Replication protein A subunit OS=Cucumis sativus OX=3659 GN=Csa_2G000250 PE=3 SV=1
GO:0009523	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G000260 PE=4 SV=1
GO:0005634	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G000270 PE=3 SV=1
GO:0005737	Threonine synthase OS=Cucumis sativus OX=3659 GN=Csa_2G000280 PE=3 SV=1
GO:0005730	U1-type domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G000290 PE=4 SV=1
GO:0005840	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G000300 PE=4 SV=1
GO:0005832	Pre-mRNA cleavage factor Im 25 kDa subunit OS=Cucumis sativus OX=3659 GN=Csa_2G000310 PE=3 SV=1
GO:0005832	CCT-beta OS=Cucumis sativus OX=3659 GN=Csa_2G000330 PE=3 SV=1
GO:0004674	E3 ubiquitin ligase OS=Cucumis sativus OX=3659 GN=Csa_2G000350 PE=4 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G000360 PE=3 SV=1
GO:0005789	O-acyltransferase OS=Cucumis sativus OX=3659 GN=Csa_2G000370 PE=3 SV=1
GO:0005634	Protein kinase domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G000380 PE=3 SV=1
GO:0005634	HSF_DOMAIN domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G000390 PE=3 SV=1
GO:0000785	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G000400 PE=3 SV=1
GO:0003697	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G000410 PE=3 SV=1
GO:0003697	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G000415 PE=3 SV=1
GO:0016020	Cytokinin dehydrogenase OS=Cucumis melo OX=3656 GN=LOC103498521 PE=3 SV=1
GO:0005737	Amino_oxidase domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G000460 PE=4 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G000470 PE=4 SV=1
GO:0000502	PCI domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G000480 PE=4 SV=1
GO:0016020	Methyltransf_11 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G000500 PE=4 SV=1
GO:0005886	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G000510 PE=3 SV=1
GO:0016491	Fe2OG dioxygenase domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G000520 PE=3 SV=1
GO:0043231	DYW_deaminase domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G000530 PE=3 SV=1
GO:0000781	Histone acetyltransferase OS=Cucumis sativus OX=3659 GN=Csa_2G000580 PE=3 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G000590 PE=3 SV=1
GO:0022625	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G000600 PE=3 SV=1
GO:0046872	Zinc finger CCCH domain-containing protein 20-like OS=Cucumis melo var. makuwa OX=1194695 GN=E6C27_scaffold41G00680 PE=4 SV=1
GO:0005737	Inositol oxygenase OS=Cucumis melo OX=3656 GN=LOC103498333 PE=3 SV=1
GO:0016020	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G000650 PE=4 SV=1
GO:0005739	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G000680 PE=3 SV=1
GO:0005634	NAC domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G000690 PE=4 SV=1
GO:0004721	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G000700 PE=3 SV=1
GO:0004674	LRRNT_2 domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G000710 PE=4 SV=1
GO:0003993	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G000720 PE=4 SV=1
GO:0003993	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G000730 PE=4 SV=1
GO:0003993	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G000740 PE=4 SV=1
GO:0005856	Profilin OS=Cucumis sativus OX=3659 GN=Csa_2G000760 PE=3 SV=1
GO:0005856	Profilin OS=Cucumis sativus OX=3659 GN=Csa_2G000770 PE=3 SV=1
GO:0005737	Protein kinase domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G000780 PE=3 SV=1
GO:0005634	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G000790 PE=4 SV=1
GO:0016020	Protein DETOXIFICATION OS=Cucumis sativus OX=3659 GN=Csa_2G000800 PE=3 SV=1
GO:0005744	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G000890 PE=4 SV=1
GO:0005737	RING-type domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G000920 PE=4 SV=1
GO:0005737	RING-type domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G000930 PE=4 SV=1
GO:0046872	Fe2OG dioxygenase domain-containing protein OS=Cucumis sativus OX=3659 GN=Csa_2G000940 PE=3 SV=1
GO:0000139	Uncharacterized protein OS=Cucumis sativus OX=3659 GN=Csa_2G000950 PE=4 SV=1
